,index,source,target,name,osmid,access,highway,ref,oneway,junction,width,bridge,geometry,length,maxspeed,lanes,population,request,cost,node
59,91,36,34,Via Piave,27454547,,unclassified,,False,,,,"LINESTRING (12.0009488 45.7865353, 12.0009234 45.7864589, 12.0009069 45.7863932, 12.000905 45.7863183, 12.0009 45.7862114, 12.0008988 45.7860534, 12.0008976 45.7859794, 12.0008831 45.7858583)",75.672,50,,7.267503650332913,4.015761632427546,2.5133076167776376,"(36, 34)"
60,92,37,101,Via Antonio Gramsci,28287515,,residential,,False,,,,,43.89,30,,4.066609370564577,2.2470623573247854,1.4433164568548589,"(37, 101)"
61,93,37,277,Via Don Sturzo,28287531,,unclassified,,False,,,,,42.342,50,,4.066505967364365,2.247005220428258,1.406312389121455,"(37, 277)"
62,94,37,38,Via Antonio Gramsci,28287515,,residential,,False,,,,"LINESTRING (11.996461 45.7869721, 11.9964644 45.7867349, 11.9964693 45.7863841, 11.9964775 45.7858052, 11.996478 45.7857664)",134.075,30,,12.42266236861348,6.864317283169757,4.409037456204493,"(37, 38)"
63,95,38,37,Via Antonio Gramsci,28287515,,residential,,False,,,,"LINESTRING (11.996478 45.7857664, 11.9964775 45.7858052, 11.9964693 45.7863841, 11.9964644 45.7867349, 11.996461 45.7869721)",134.075,30,,12.42266236861348,6.864317283169757,4.409037456204493,"(38, 37)"
64,98,39,96,Via Antonio Gramsci,28287515,,residential,,False,,,,,137.352,30,,12.726291416399768,7.03209179547218,4.516801138799923,"(39, 96)"
65,99,39,94,Via Fratelli Rosselli,112696368,,residential,,False,,,,,35.313,30,,3.271911066364705,1.8079406020553692,1.1612630221215685,"(39, 94)"
66,100,39,118,Via San Francesco,301482506,,unclassified,,False,,,,,123.671,50,,11.877305264038506,6.562972524103329,4.107506954679502,"(39, 118)"
67,101,39,322,Via San Francesco,305193115,,residential,,False,,,,,105.686,30,,9.792291591193619,5.41086881513391,3.4754691970645397,"(39, 322)"
68,102,39,29,Via San Francesco,301482506,,unclassified,,False,,,,"LINESTRING (11.9963647 45.7893917, 11.9967155 45.7892961, 11.9969708 45.7892393, 11.99731 45.789183)",77.01599999999999,50,,7.396580784623634,4.087085023298444,2.557946128207878,"(39, 29)"
